post,ans1,severity1,bully1,ans2,severity2,bully2,ans3,severity3,bully3
Q: Bitch u thee bomb like Tick TICK!<br>A: Hahah(: Thanks!,No,0,,No,0,,Yes,9,Bitch u thee bomb like Tick TICK
Q: do you have any memories you&#039;d like to forget?<br>A: Actually i do!!! Just my whole experience with this fake a$$ friend!!</3,No,1,fake a$$ friend!!</3,No,0,,No,3,fake a$$ friend
Q: Fuck Justin bieber. He&#039;s a fucking fag<br>A: UM excuse yuh? HE IS NOT!! Ur a fuckin idiot! Kay? good,Yes,1,Ur a fuckin idiot!,Yes,5,Ur a fuckin idiot,Yes,5,Ur a fuckin idiot
Q: Hahah. Funny how u defend that beiber kid.<br>A: &amp; its also funny how u stalked my whole twitter! Nice goin! BITCH!,No,0,,Yes,7,Bitch,Yes,4,BITCH
Q: Have u ever licked thee floor?<br>A: Hahaha.. Yup!(: Its my job,No,0,,Yes,4,ever licked thee floor,No,0,
Q: Hello bitch! How&#039;s ur day going? Good I hope :) it&#039;s beautiful and sunny!<br>A: Ohh heyy bitchh!!! its goin good..:D thx 4 askin,Yes,1,Hello bitch!,No,0,,No,0,
Q: Hey. Why you such a bitch?<br>A: Why thank yuh!,Yes,3,"""""""""""""""why you such a bitch?""""""""""""""",Yes,5,"""""""""""""""Bitch""""""""""""""",Yes,9,Why you such a bitch?
Q: how old are u ? And how do you know michael?<br>A: Who the hell are yuh!!! And who tha fuck is michael!?,Yes,10,Who the hell are yuh!!! And who tha fuck is michael!?,Yes,2,Who the hell are yuh!!! And who tha fuck is michael!?,No,,
Q: If you had to perform at the circus  what trick would you do?<br>A: Read between these three fingas! haha,No,0,,Yes,8,between these three fingas,No,0,
Q: -ilovee youuu bestfranhdd(: haa guesss whooo....<br>A: ilovee maryyy rosseeee hickkksss!!!! LOL!,No,0,,Yes,4,ilovee maryyy rosseeee hickkksss,No,0,
Q: justin bieber is my driving teacher oohh yess!..bahah we gonna be doing sumthing else instead of him teaching me how to drive(; lmao<br>A: HAHAHAHA TEACHIN HIM how to ur his stickshift Mwhahahahahaha! i llalala love you best frann!,No,8,we gonna be doing sumthing else instead of him teaching me how to drive,No,0,,No,0,
