post,label
"['bitch', 'bomb', 'like', 'tick', 'tick', 'haha', 'thanks']",1
"['memory', 'would', 'like', 'forget', 'actually', 'whole', 'experience', 'fake', 'friend']",1
"['org', 'bieber', 'fucking', 'fag', 'excuse', 'excuse', 'excuse', 'good']",1
"['haha', 'funny', 'defend', 'beiber', 'kid', 'also', 'funny', 'stalk', 'whole', 'twitter', 'nice', 'go', 'bitch']",1
"['ever', 'lick', 'floor', 'yes', 'job']",1
"['hello', 'bitch', 'day', 'go', 'good', 'hope', 'beautiful', 'sunny', 'ohh', 'hey', 'go', 'good', 'thanks', 'ask']",1
"['hey', 'bitch', 'thank']",1
"['old', 'know', 'person', 'hell', 'fuck', 'person']",1
"['perform', 'circus', 'trick', 'would', 'read', 'cardinal', 'finger', 'haha']",1
"['love', 'best', 'friend', 'guess', 'love', 'person', 'lol']",1
"['org', 'bieber', 'drive', 'teacher', 'oh', 'goodness', 'yes', 'go', 'something', 'else', 'instead', 'teach', 'drive', 'lol', 'haha', 'teach', 'use', 'stickshift', 'mhm', 'haha', 'love', 'best', 'frann']",1
"['love', 'sexy', 'person', 'thank', 'sexy', 'bitch', 'haha']",1
"['favorite', 'toy', 'play', 'child', 'fuck', 'suppose', 'remember', 'weirdo', 'maybe', 'mom', 'person']",1
"['favorite', 'color', 'pink', 'neon', 'green']",1
"['decide', 'take', 'shit', 'face', 'quite', 'sure', 'tell', 'find', 'promise']",1
"['follow', 'bandwagon', 'formspring', 'twitter', 'next', 'gay', 'org', 'beiber', 'well', 'follow', 'anything', 'really', 'bandwagon', 'old', 'like', 'trend', 'date', 'org', 'bieber', 'idiot', 'spell']",1
"['like', 'little', 'kid', 'like', 'org', 'bieber', 'um', 'big', 'heart', 'ever', 'start', 'hate', 'date', 'obviously', 'addict', 'get', 'fact', 'straight']",1
"['need', 'delete', 'tweet', 'funny', 'know', 'many', 'people', 'die', 'date', 'include', 'father', 'brother', 'um', 'truly', 'sorry', 'mean', 'way', 'like', 'obviously', 'get', 'offend', 'say', 'funny', 'get', 'angry', 'shit', 'delete', 'tweet', 'thanks', 'way', 'rip', 'daddy', 'brother']",1
"['lol', 'really', 'funny', 'really', 'much', 'insult', 'fat', 'lol', 'suck', 'talk', 'really', 'much', 'insult', 'fat', 'lol', 'suck', 'talk', 'really', 'much', 'insult', 'fat', 'lol', 'suck', 'talk', 'really', 'much', 'insult', 'fat', 'lol', 'suck', 'talk', 'really', 'much', 'insult', 'fat', 'lol', 'suck', 'talk']",1
"['laugh', 'loud', 'cute', 'friend', 'back', 'matter', 'still', 'fake', 'bitch', 'go', 'find', 'real', 'boyfriend', 'someone', 'league', 'laugh', 'loud', 'ugly', 'wow', 'yeah', 'fake', 'bitch', 'one', 'scar', 'say', 'shit', 'face', 'bitch', 'scar', 'get', 'fucked', 'real', 'funny', 'skinny', 'ass', 'bitch']",1
"['org', 'bitch', 'wow', 'really', 'talk', 'shit', 'formsprings', 'face', 'talk', 'shit', 'formsprings', 'talk', 'shit', 'formsprings', 'talk', 'shit', 'formsprings', 'talk', 'shit', 'formsprings', 'talk', 'shit', 'formsprings', 'talk', 'shit', 'formsprings', 'talk', 'shit', 'formsprings', 'talk', 'shit', 'formsprings', 'talk']",1
"['still', 'bitch', 'oh', 'wow', 'okay', 'butt', 'right']",1
"['suck', 'ahaha', 'readyy', 'h']",1
"['try', 'hard', 'fit', 'know', 'funny']",1
"['faggot', 'know']",1
"['slut', 'vv', 'umm', 'okkayy', 'thanks']",1
"['ugly', 'oh', 'well', 'thanks', 'ugly']",1
"['one', 'information', 'life', 'best', 'think', 'twice', 'try', 'steal', 'stuff', 'bitch', 'fuck', 'say', 'steal', 'stuff', 'dumb', 'thief']",1
"['show', 'face', 'anonymous', 'fuck', 'make', 'sense', 'make', 'sense', 'fake', 'ugly', 'bitch', 'never', 'say']",1
"['stop', 'hating', 'page', 'thanks', 'would', 'want', 'hate']",1
"['say', 'well', 'fake', 'everyone', 'know', 'need', 'go', 'say', 'something', 'else', 'say', 'fake']",1
"['sorry', 'cardinal', 'fake', 'lady', 'come', 'person', 'fucking', 'mental', 'know', 'j', 'mean', 'think', 'need', 'stop', 'faking', 'get', 'damn', 'life', 'instead', 'fake', 'girl', 'nice', 'comeback', 'say', 'mental', 'put', 'people', 'know', 'j', 'mean', 'comeback', 'suck']",1
"['fake', 'though', 'make', 'sense', 'lolol', 'would', 'keep', 'fake', 'formspring', 'stupid', 'p', 'know', 'real', 'ashlee', 'girl', 'formspring', 'already', 'soo', 'fuck', 'may', 'bitch', 'fake']",1
"['wow', 'ashlee', 'fake', 'post', 'amuse', 'lmao', 'okay', 'retard', 'keep', 'page', 'upp', 'retarded']",1
"['sexy', 'fucking', 'ass', 'dude', 'make', 'laugh', 'fucking', 'hard', 'thanks', 'make', 'day', 'welcome', 'faggot']",1
"['perfect', 'age', 'learn', 'suck', 'dick', 'give', 'hand', 'job', 'sick']",1
"['ahaha', 'mom', 'dead', 'thanks', 'ugly', 'ass', 'bitch', 'one', 'know', 'life', 'talk', 'shit', 'formspring', 'pretty', 'girl', 'jelouse', 'alright', 'bitch', 'pretty', 'pshh', 'make', 'laugh']",1
"['call', 'fat', 'know', 'sorry']",1
['fake'],1
"['famous', 'something', 'hear']",1
"['mentally', 'insane', 'make', 'proof', 'video', 'lie']",1
"['gpe', 'cyrus', 'gpe', 'hey', 'ashlee', 'tire', 'everyone', 'comment', 'damn', 'formspring', 'talk', 'shit', 'okay']",1
"['gpe', 'cyrus', 'rachel', 'cyrus', 'lame', 'last', 'name', 'everyone', 'know', 'cyrus', 'get', 'fake', 'probably', 'ugly', 'real', 'life', 'lmfao', 'course', 'cyrus', 'real', 'last', 'name', 'fake', 'last', 'name']",1
"['baha', 'actually', 'go', 'go', 'bitch', 'fucking', 'stupid', 'real', 'ashlee', 'proof', 'video', 'dumb', 'probably', 'old', 'man', 'behind', 'computer', 'screen', 'go', 'fuck']",1
"['betty', 'like', 'adorable', 'look', 'like', 'crackhead', 'toilet', 'dear', 'even', 'make', 'sense']",1
