post,label
bitch you there bomb like tick tick haha thanks,1
do you have any memories youd like to forget actually i do just my whole experience with this fake friend,1
justin bieber is a fucking fag hes an excuse for you he is not your excuse you are not an excuse good,1
haha funny how you defend that beiber kid its also funny how you stalked my whole twitter nice going bitch,1
have you ever licked the floor yes its my job,1
hello bitch hows your day going good i hope its beautiful and sunny ohh hey its going good thanks for asking,1
hey why are you such a bitch why thank you,1
how old are you and how do you know michael who the hell are you and who the fuck is michael,1
if you had to perform at the circus what trick would you do read between these three fingers haha,1
i love you best friend have you guessed who i love mary rose hicks lol,1
justin bieber is my driving teacher oh my goodness yes were going to do something else instead of him teaching me how to drive lol haha teach him how to use his stickshift mhm haha i love you best frann,1
love you youre sexy thang mwahaha thank you youre sexy bitch who is this haha,1
what was your favorite toy to play with as a child now how the fuck am i suppose to remember that weirdo maybe it was your moms dick lol,1
what is your favorite color pink neon green,1
who decided to take a shit on your face im not quite sure ill tell you when i find out i promise,1
why do you follow the bandwagon formspring twitter whats next gay justin beiber well im not following anything and really bandwagon so old its more like trend these days justin bieber idiot cant spell,1
why do you like little kids like justin bieber um he has a big heart than you will ever have so before you start to hate on a year old that you obviously are addicted to get your facts straight,1
you need or should delete that tweet not funny at all you know how many people died that day including my father and brother um im truly sorry but i didnt mean it in any way like you obviously got offended by and i said it was not funny before you get all angry and shit ill delete that tweet thanks by the way rip your daddy and brother,1
lol yours is really funny that is not really much of an insult now is it what if i was fat lol you suck at talking that is not really much of an insult now is it what if i was fat lol you suck at talking that is not really much of an insult now is it what if i was fat lol you suck at talking that is not really much of an insult now is it what if i was fat lol you suck at talking that is not really much of an insult now is it what if i was fat lol you suck at talking,1
laughing out loud how cute you have friends that back you up doesnt matter youre still a fake bitch go find a real boyfriend not someone out of your league laughing out loud youre ugly wow yeah im a fake bitch youre the one that scares me to say all this shit in your face bitch scared to get fucked youre real funny skinny ass bitch,1
shit talkin bitch wow really why are you talking all this shit over these formsprings not in my face whos talking all this shit over these formsprings whos talking all this shit over these formsprings whos talking all this shit over these formsprings whos talking all this shit over these formsprings whos talking all this shit over these formsprings whos talking all this shit over these formsprings whos talking all this shit over these formsprings whos talking all this shit over these formsprings whos talking all this,1
still a bitch oh wow okay butt youre right thats it thats it thats it thats it thats it thats it thats it thats it thats it thats it thats it thats it thats it thats it thats it thats it thats it thats it thats it thats it thats it thats it thats it thats it thats it thats it thats it thats it that,1
suck it ahaha all readyy h,1
why do you try so hard to fit in just be yourself if you know how funny,1
why are you such a faggot i dont know,1
youre such a slut vv umm okkayy thankss,1
youre ugly oh well thanks you your so ugly,1
i have one for your information thats my life not yours you best think twice before you try to steal my stuff you bitch who the fuck said i was stealing your stuff dumb youre a thief,1
show your face anonymous what the fuck do you make of no sense you make no sense you are fake ugly and a bitch i never said i did,1
stop hating on my page thanks why would i want to hate on you,1
are you all you can say well youre fake everyone knows it no need to go on about it say something else i can say more im not fake,1
im sorry im not the one being fake of some lady come on now be your own person and im not fucking mental i know what j means i think you need to stop faking and get a damn life instead of being on here and faking some girl nice comeback i didnt say you were mental i put that because some people dont know what j means your comebacks suck too,1
you are fake though that makes no sense lolol why would you keep faking all these formspring your stupid p we all know the real ashlee girls formspring already soo fuck off may you bitch i aint fake she is,1
wow ashlee your fake posts amuse me lmao okay you are retarded to keep this page upp you are retarded,1
im very sexy my fucking ass dude that made me laugh so fucking hard thanks for making my day your welcome faggot,1
are you at the perfect age to learn how to suck dick and give hand jobs sick,1
ahaha my mom is dead but thanks ugly ass bitch that no one knows and has no life and has to talk shit on formspring to pretty girls that she is a jelouse of alright bitch you aint pretty pshh dont make me laugh,1
and you called me fat why do i not know im sorry,1
are you fake no you are not,1
are you famous or something i have not heard of you,1
are you mentally insane she made a proof video that you cant lie,1
ashlee cyrus is from florida hey im ashlee im tired of everyone commenting on my damn formspring talking shit okay,1
ashlee cyrus rachel cyrus is a lame last name everyone knows if youre a cyrus you got to be fake and youre probably ugly in real life lmfao of course cyrus is not my real last name its my fake last name,1
baha actually im going to go on now bitch are you fucking stupid the real ashlee has a proof video youre dumb youre probably just some old man behind a computer screen go fuck yourself no im not,1
betty is like adorable you look like a crackhead in a toilet my dear that doesnt even make sense,1
bitch stfu at least i recognize myself not like u should i care bitch,1
but your fake im not fake,1
chick are you a lesbian no are you,1
do i even know you and why the fuck are you leaving shit on my wall seriously get a life because i felt like it i have one,1
does it make you mad that you have tons of hate groups on myspace i dont care anymore,1
dont call her a bitch just did,1
dude are you serious youre so stupid stop swearing and by the way if youre tired of people talking shit on your form spring delete this account and be yourself are you that bad not as stupid as you think just saying,1
dude eww go home roger back at you,1
dude it seems like everyone hates you you should just delete all your social media sites should i care,1
dude shes faking herself no one else in the world would fake her im not,1
everyone look at this girl she was using missy lockes pictures and i told her she was fake then she said she wasnt fake she took bettys pictures shes dumb,1
ew youre gross ugly bitch not as gross as you bitch,1
eww okay i know im ew,1
faake d i am not fake,1
the phrase fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake news fake fake news fake news fake news fake news fake news fake news fake news fake news fake news fake news fake news fake news fake news fake news fake news fake news fake news fake news fake news fake news fake news fake news fake news fake news fake news fake,1
false i am not false,1
fake your fake,1
get a life you twisted bitch you get a life,1
get naked ew no,1
go to hell you go to hell ugly wannabe scene chick,1
you are very rude and unpleasant,1
youre so rude and inconsiderate you dont care about anyone elses feelings,1
guess what you should do get a life i dont even know you so why would you even start something with me seriously you must be a bit messed up in the head pathetic i have one for your information no i am not messed up,1
haha lifeless cunt stop writing on my wall youre a shitfaced slut yo mamma,1
have you ever gone to someones page and seen them asking themselves questions but when you ask them about it they deny it ive seen it and that is so stupid,1
hey how many other forms of speech do you have like damn get a life you care why,1
hey everyone this is the girl who fakes her tattoos,1
hey im ashley im tired of everyone commenting on my damn formspring talking shit,1
hey im ashlee im tired of everyone commenting on my damn formspring talking shit,1
hey why dont you go kill yourself a lot of people would be really happy if you would why would i want to do that,1
hey youre an ugly filthy bitch you think youre sexy but youre not youre a pathetic worthless ugly bitch beware of what you put on blast youre a stupid ignorant worthless ugly bitch fuck off stop hating on peoples pages before i go off on your ugly ass please bitch what are you going to do if i were i would get a life,1
hi asshole,1
hi you smell bad you smell like pigs vomit did you just go to the toilet i wondered what that smell was you missed the toilet and it fell on your ugly clothes are you poor you stink like hamster poo id love to ram a metal pole up your ass id love to see you get hit by a car,1
hi youre ashlee and youre not and youre ugly as hell so beware bye if i were you i would not be talking to beth,1
how much do you have sex what type of question is that,1
stalkerr,1
i dont know you and ive never said youre ugly please comment on my looks learn how to spell,1
i dont know you but you seem like a bitch im not,1
i hope your ass is whole and gets sniffed by aids i hope you get aids,1
i like how everyone writes you just to insult you seriously all your questions are dissing you are you sure im not dissing you,1
i never said that im or that im sexy dumbass are you sure,1
i swear to god bitch i hate you so much you think you can add people and just talk shit on their pages haha nah you must have messed up im going to hunt your ass down and beat the shit out of you with my own hands bitch lame joke you cant do anything,1
im not a creepy stalker just everyone hates you so everyone knows what you do you remind me of harmony flash pink but uglier and a little more pathetic everyone knows you fake yourself and other girls and you want attention dumb,1
im not fake im sorry liar,1
if you are going to be rude give smart answers we will unfollow you okay,1
im a big fan of betty and you are uglier than her so fuck up bitch you ugly shit head oh wow should i care,1
its your cousin again laugh out loud why is everyone saying youre fake they are stupid,1
learn how to spell learn how to tell apart a typo from a spelling error and learn how to be a proper fake you learn to keep your mouth shut,1
lol youre fucking creepy must have no friends nor life if you have to create multiple formsprings of yourself saying theyre fakes quit thinking everyone wants to be you they copy you no one would fake you im sorry your such a pathetic poser your the one who is creepy stalker,1
me you the one who started the shit so,1
no one likes you you dont care,1
no honestly youre really immature youre the one,1
no i actually have a life unlike you the lonely pathetic ugly lowlife man woman whos life events are staying on formspring creating fakes and starting shit seriously im not the bitch you are end of story kcoolbye i have a life show your face anonymous,1
obese not close to obese,1
oh god not you again same here,1
ohh look at the girl who fakes herself i only faked myself once,1
ok bitch want to start on me ok one faggot is an overused term that people try to use on me to get me to feel bad two youre nothing but an awful life bitch who gets the kicks out of starting shit with people dont come starting shit on my formspring well i want to bitch,1
okay then bitch you dont have any quick comebacks now do you youre a fake pathetic much,1
slut leave betty alone cunt face she is the slut,1
so you have sex a lot no,1
stay off of my formspring i do not even know who you are why should i,1
shut up you how you piece of shit wow i feel insulted,1
stop annoying betty by the way youre a really sad little girl you think youre all grown up now using big words stupid child living a fake life behind a keyboard and a screen how pathetic can you be girl im not fake im human,1
stop leaving stuff like fake on your own forms dead give away dumbass suck a cunt what are you talking about,1
stop making fakes of yourself you are ugly as fuck youre not actually a bitch and youre not actually cyrus get a mothers life i do not make fakes of myself person so get your fakes straight,1
sure but you must spam or we wont continue spamming your okay sure will,1
you know you care that betty is way better looking than you are,1
ugly piece of shit stop talking about yourself,1
ugly i know you are,1
um you did right down there youre the dumbass stop starting shit with everyone coolbye bitch youre the one who is copying me,1
your face is nasty yes,1
youre pretty screw every one below me thanks,1
what am i going to do haha what am i going to do haha what am i going to do is getting some bitches to kick the living shit out of your ugly fake wannabe bitch made ass yeah right dont make me laugh,1
who are you mom,1
who are you,1
why are you still alive i dont know tell me,1
why are you stupid why are you stupid,1
why did you pretend to be someone else thats lame you know there are a lot of hate groups on myspace i dont fake myself shut up,1
why do girls call themselves star chicks but they still live at home with their mom lmfao,1
why do you fake yourself i dont fake myself,1
why do you have so many fake formsprings those are fakes,1
why not and all you have to say is no oh and leave people alone delete this youre a fake im not fyi,1
wow youre a fake if youre tired of everyone talking shit to you spring either stop talking shit to them first or delete the damn thing gosh youre retarded i forgot how stupid people are these days and that would be you whatever bitch,1
wow youre really stupid you told a girl who was showing her information and your comebacks are really bad fighting over the internet is like being in the special olympics even when you win youre still stupid um looks whos talking youre talking nonsense to me stop being a hypocrite,1
yes i have a big nose seriously no girls do not have big noses no my nose is not as big as yours,1
you are short this bitch is fake i am not fake,1
you are nasty so are you,1
you are stupid and ugly thats what you are,1
you dont even have fake things stop the fucking bullshit and get a life how old are you kid lifeless bitch you need help yes i do,1
you should die,1
you should listen to the song big weenie by eminem it describes you so much and everyone feels this way towards you xd lol are you sure youre not describing yourself,1
you suck you do nigga,1
you sure as hell look like a dog do not call me hun got it i do not look like a damn dog haha i just did what you were going to do about it,1
youre fucking pathetic so are you for commenting my formspring,1
youre mean okay,1
youre one of the ugliest people ive ever seen have you seen your face lately if you had you wouldnt be talking like that,1
youre really rude what the heck is your problem i dont know whats yours,1
youre the bitch fuck off im not a dog,1
youre a fake youre a fake for calling the real haley fake on her formspring what a lame bitch you are for not leaving your stupid username,1
you are a very unpleasant person you look like a man in the face whatever you say it is not true,1
your background is stupid too you like your face,1
you come backs are fucking horrible you dumb bitch what are you like fucking five youre like i know you are but what am i yeahh no bitch get a fucking life i have one unlike you hun,1
you comebacks suck like i said do yours,1
you comebacks suck balls so do yours,1
your face is nasty youre just jealous,1
youre so ugly like your mom,1
youre mad ugly true talk like your face,1
youre not very attractive stop hating on grace and all these pretty girls oh my god why would i want to be jealous of them,1
youre probably the one faking kai huh fucking bitch huh i have a life unlike you,1
youre so immature im sorry you have no friends so you have to be rude to everyone youre just jealous im sexy and youre not anonymous show your face faggot,1
your thing says youre very sexy lololol haha lies stalker much,1
youre ugly as fuck betty is prettier than you so stop being a bitch psh yeah right,1
youre your ugly momma,1
youre ugly stop talking about yourself,1
ahh i wonder if i like you i like you a lot maybe you should tell me who you are so we can get to know each other kid,1
andrew once again stopped talking to my friends nobody likes you you think youre hot stuff and thats whats annoying bye failed rapist hahaha d,1
asshole,1
i cant believe even nico doesnt want to go near you i like that you try and type all ghetto you dont scare me youre a bitch i would probably kill you if we fought youd probably bring your ghetto friends who would that be bella and kendall who would that be bella and kendall who would that be bella and kendall who would that be bella and kendall who would that be bella and kendall who would that be bella and kendall who would that be bella and kendall who would that be bella and kendall who would that be,1
aww youll have some beat my ass your not badass enough to do it yourself exactly what i meant by pussy tell me who you are and ill do it myself,1
does it look like i give a flying fuck you should cause youre a friendless faggot,1
dont even try to deny it she can do so much better than you i just wish she could open those pretty little eyes of hers and see its a player im sure she can,1
do not squirm motha fucka its just a syringe in my spare time i skin these niggers and hit up the nigga nico to binge aha what up nigga zure nice rhyme llama fucker,1
dude im so frustrated with you i cant take it anymore haha sorry im not into that sort of thing,1
dude you are such a terrible fag thats funny you anonymous bitch,1
ew fuckk no shes ugly as fuck if she was ugly as fuck then i would not be talking to her you retard i know a pretty girl when i see one,1
wow i would never be jealous of your life coke is a drug to but you still seem to handle with it a lot no one gives a flying fuck about your life and leave andrew the fuck alone because you only hate him for the fiery cunt haha i do not do cocaine you idiot and i do not give a fuck about that guy he is the one commenting on my formspring so shut up,1
ew vv i dont know which question youre pointing at asshole,1
exactly you are not hard to get over yourself how about you get over me and get the fuck out of here,1
frances nico takes you up for a private conversation no one wants to hear all the loveydovey stuff shut up ahaha shut up you,1
frances laura senecal is ugly no frances laura senecal is gorgeous shes absolutely one of the most beautiful girls ive ever seen,1
frances seriously stop trying to make people feel bad for you ugly shes not ugly you stupid cunt shes beautiful why dont stop talking crap and get a life you silly fuckstick damn like honestly how much of a loser do you have to be to talk shit over formspring,1
fuck no im not jealous of the ugly ass freak bitch suck my fucking dick why dont you say that shit to my face you fucking pussy,1
haha cute your calling me a bitch when you wont leave a name right you want to get down one on one lets go fake bitch,1
haha i knew you would and then you would do this to my kids worse than you bahahaha vv woww your retarded lol thanks,1
haha keep saying shit ill kill you well then youll go to jail,1
haha you did hate her because she stopped talking to you for another guy hahaha thats funny dude its so hilarious i cant stop laughing,1
haha stfu q hehehe about the bra thing,1
i find that joke amusing i would like to see that forest fire fight it sounds like a challenge how about you fight me,1
haha to the hater who said im ugly as fuck you need to open your eyes because i know im far from ugly im not being conceited just confident so you can hush that babe if youre gonna talk shitsay it to my face i think i had it under control love,1
hahaha hahaha hahaha hahaha hahaha hahaha hahaha hahaha hahaha hahaha your funny im not at all thats good for you you can stop talking to me,1
i do know you on a personal level bitch well if you cant support me and my decisions then maybe we shouldnt be friends bitch,1
i do support you i just wish youd be dating someone actually cute not just dating her for her big ass shes beyond cute and im not dating her yet so youre wrong about me and my reasons for liking her,1
i dont give a fuck youre my friendless previously stated in one of my other comments except for a fiery bitch ahaha i do have friends and i know who they are so do not try to teach me about my own life,1
i guarantee you guys wont be going out by the end of summer i guarantee that youre a complete idiot so fuck you,1
i hate your disgusting guts you lindsey are the grossest thing ive ever seen theres nothing special between us so shut your mouth and shes better than you depending on if youre a girl or not haha,1
i have my shit straight she wears like the same tshirts her little pink and white striped shirt or the plaid blue and red shirt or pink shirt or whatever and maybe some random ones with jeans or shorts and vans owned ahaha not really dumb and even if she did i wouldnt mind cause i dont care what other people think all i care about is her,1
i hope you know i hate you frances is one of my best friends good for you i do not see why you hate me though,1
i will fight you bitch haha fuck off loser i do not know who you are,1
im not jealous im disgusted shes gross um shes really not get your shit straight before you start frontin,1
im not jewish im catholic so suck a dick no thanks i dont like dick,1
im not the one who said sext me but i was the one joking about the inappropriate messages who do you think i am you honestly want me to guess you could be anyone in the whole world haha,1
leave frances alone seriously dude all your going to do is hurt her youre over here talking to her and talking to sabreena at the same time aha sorry im not talking to sabreena were just good friends dumbass,1
lets see it then i was born in the ghetto whats up with that you know about that right not a damn thing get on my level trick or treat show a name catch ahh fade lil homiee no you know what dont stay away from me come find me bxtch d,1
lindsay is one of the coolest girls at poly so stop hating shes more mature than youll ever be ive seen her fight and dare you to fight her i could not have said it any better myself,1
no i dont know why on earth would i wish for something like that i actually wish you would stop being a player how am i a player at all maybe if you knew me then you would know that im the one who gets played,1
no its too fun then you must have a very dull life loser,1
no you wont haha listen asshole you cant sit there and try to tell me about my feelings unless you know me on a personal level and were good friends,1
no i hate taylor she used to be so fiery until she dyed her hair okay i dont really care so find something better to do than criticize me,1
no im not but thanks for throwing that out there you sound like a retard when you say things like that because you dont know whats going to happen we could be going out for one day or one year but it doesnt matter because ill always feel the same about her,1
not telling you will have to just find out on your own it probably wont be too hard though haha oh yeah fck but youz a bitchass nigga,1
oh frances dont try and talk all ghetto your white ass doesnt scare me i will break you in half dude back the fuck off i probably dont even know you so get the fuck off of my fucking page and stay the fuck away from frances,1
people are mean they talk too much nonsense on you poor thing hahaha i know theyre jealous because i pull girls and no one wants their tiny dicks bahahaha,1
player you wish,1
are you gay no bro im straight as can be,1
say it to my face trick ass nigga i will fuck you i am not trying to make anyone feel bad so you can hush that you have something to say then please step up show a name fuckinn bitch whose up,1
they are pointing to the one about me you dont know a damn thing about me so shut up sarcasm seriously if you knew me you wouldnt treat me the way you do im a human being and i have feelings i respect you nico im sorry frances dont be so angry this person is obviously jealous of you in some way and they talk shit on you because they think youll stoop to their level so they can be even with you dont worry about them just ignore it,1
too late i hate you i could give two shits and a fuck about your hatred for me,1
you have a dull life it consists of drugs weed and fire your life must suck haha weed is a drug dumbfuck and you must be jealous of my life since you know so much about it,1
youre going to have a lot of shit on here because a lot of people hate you ive actually anticipated that and im already aware that a lot of people hate me,1
whatever im going to leave before you guys cry get yourselves hurt i mean youre begging me to leave bye pussy youre the one being anonymous give me your name and ill have someone beat your ass,1
whats up with you and francis what do you mean,1
who do you know it,1
youre insane i dont want you thats bad news and nice gay typing dude,1
yes go ahead and play the victim i do know youre a player thats how i know youre a player fuck you bitch if you did know me then you would know that lindsey and haley both played me so shut your mouth,1
you and frances gross me out nastiest couple ive ever seen your way out of her league like no joke i appreciate you trying to help but its not working so why do you not go away and stop being jealous yeah,1
youre a faggot,1
youre my bitch and ill kill you nigga how about you suck my dick,1
youre so gay haha well youre fat,1
youre still gay and a bitch well youre a rapist so fuck off,1
youre the one talking shit back fuckstick i mean seriously how thirdgrade can you get i didnt know thirdgraders were so badass why dont you get out of here before i fuck you in the ass so hard your kids wont be able to sit down for the first years of their lives,1
adolf hitler was a oneeyed vegetarian what did you do with his other testicle you threw it at his nazi regime,1
after how many kids would you get your tubes tied guys a vasectomy random i would not,1
are you a cat or dog person dog definitely,1
are you addicted to popping pimples no i dont really get it,1
are you afraid of clowns no im not,1
are you an idiot i am confused do you not think its a quality that you should be so proud of be nice,1
can i smell your feet and no poop mr anonymouser,1
choose between being crosseyed or being a cripple crosseyed haha,1
do you have a gag reflex do you have a name,1
do you ask questions that sometimes you really dont want the answer too no,1
do you fall for internet advertisements show your face,1
do you have a calendar hanging in your room haha show your face,1
do you have a tic problem no i dont haha show your face,1
do you have add not clinically but i think so sometimes haha,1
do you have an innie or an outtie,1
do you know what dog treats taste like no but i can imagine,1
do you think its sassy when people of the opposite sex swear every once in a while when they usually dont i guess,1
do you think its okay for guys to wear pink sometimes but its usually gay ahha,1
ever seen a therapist no but sometimes i wish i had someone i could pour all my thoughts out to,1
for a million dollars pounds or euros depending on the current situation would you run around naked and into a church no i would not,1
fucking guys flirt with every bitch on here lol girls too okay anonymous,1
girls have you ever queefed while having sex guys have your girl queefed my bros chick did he was lhfao yes and do not be embarrassed it is very very natural and the my guy likes it,1
have you had unprotected sex too much delete it i have yes,1
have you had your wisdom teeth taken out yes,1
how many of you like twilight series i like them for what they are,1
how many pairs of underwear do you own really show your face,1
how many times do you eat in a day on the hour every hour haha,1
